epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,257.287,2.84275,1.98489,2.53483,0.76053,0.83711,0.84086,0.5217,2.67486,1.5484,2.47929,0.000848969,0.000848969,0.000848969
43,262.422,2.82154,1.97464,2.53735,0.77148,0.82894,0.84517,0.52503,2.60111,1.48975,2.44116,0.000834822,0.000834822,0.000834822
44,267.974,2.7972,1.97856,2.54043,0.77291,0.80034,0.84093,0.50691,2.6513,1.54111,2.46586,0.000820675,0.000820675,0.000820675
45,273.116,2.81358,1.9024,2.55576,0.75885,0.81235,0.8227,0.48989,2.71254,1.603,2.50817,0.000806528,0.000806528,0.000806528
46,278.225,2.85328,2.03998,2.58436,0.7195,0.81699,0.82429,0.50359,2.70143,1.59919,2.49175,0.00079238,0.00079238,0.00079238
47,283.326,2.88571,2.06048,2.6198,0.7814,0.79977,0.83599,0.51507,2.48315,1.59303,2.39413,0.000778233,0.000778233,0.000778233
48,288.549,2.77328,1.92202,2.52537,0.72455,0.83458,0.84782,0.51935,2.7072,1.56103,2.50176,0.000764086,0.000764086,0.000764086
49,293.655,2.81481,1.94168,2.55319,0.72615,0.81901,0.83458,0.52655,2.59722,1.50538,2.4436,0.000749939,0.000749939,0.000749939
50,298.61,2.85753,2.03349,2.59079,0.7723,0.80809,0.82689,0.51486,2.6771,1.4723,2.486,0.000735792,0.000735792,0.000735792
51,303.545,2.73261,1.9299,2.49727,0.7585,0.80447,0.81356,0.51659,2.52203,1.50776,2.40953,0.000721645,0.000721645,0.000721645
52,308.603,2.77686,1.88627,2.51968,0.73272,0.79832,0.81556,0.50501,2.71706,1.5679,2.52295,0.000707498,0.000707498,0.000707498
53,313.704,2.72255,1.88581,2.50482,0.80234,0.76128,0.83838,0.5166,2.62047,1.58341,2.45443,0.000693351,0.000693351,0.000693351
54,318.891,2.74825,1.90013,2.52702,0.7829,0.81428,0.82676,0.50163,2.68165,1.57242,2.4772,0.000679204,0.000679204,0.000679204
55,323.928,2.75356,1.89849,2.51978,0.79134,0.79638,0.83907,0.52669,2.60688,1.52411,2.449,0.000665057,0.000665057,0.000665057
56,329.005,2.72818,1.89725,2.51012,0.77424,0.81803,0.84149,0.51599,2.65522,1.49724,2.45193,0.000650909,0.000650909,0.000650909
57,334.011,2.76491,1.91734,2.56645,0.77343,0.84244,0.86238,0.54268,2.55035,1.46897,2.41867,0.000636762,0.000636762,0.000636762
58,339.068,2.71865,1.91214,2.52103,0.83129,0.7678,0.84529,0.53744,2.63344,1.46518,2.45824,0.000622615,0.000622615,0.000622615
59,344.061,2.62978,1.80007,2.47713,0.80913,0.8256,0.87946,0.5431,2.69193,1.46242,2.5151,0.000608468,0.000608468,0.000608468
60,349.126,2.64815,1.795,2.49222,0.77056,0.80654,0.83531,0.52008,2.56342,1.4854,2.42788,0.000594321,0.000594321,0.000594321
61,354.051,2.65913,1.78699,2.47058,0.76433,0.81555,0.84792,0.51474,2.7486,1.50662,2.50303,0.000580174,0.000580174,0.000580174
62,359,2.76919,1.81663,2.51006,0.74124,0.86578,0.85147,0.54587,2.54085,1.45278,2.40287,0.000566027,0.000566027,0.000566027
